title,keywords,group,link,pdf
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,,,https://aclanthology.org/2020.acl-main.0/,https://aclanthology.org/2020.acl-main.0.pdf
Learning to Understand Child-directed and Adult-directed Speech,,,https://aclanthology.org/2020.acl-main.1/,https://aclanthology.org/2020.acl-main.1.pdf
Predicting Depression in Screening Interviews from Latent Categorization of Interview Prompts,,,https://aclanthology.org/2020.acl-main.2/,https://aclanthology.org/2020.acl-main.2.pdf
Coach- A Coarse-to-Fine Approach for Cross-domain Slot Filling,,,https://aclanthology.org/2020.acl-main.3/,https://aclanthology.org/2020.acl-main.3.pdf
Designing Precise and Robust Dialogue Response Evaluators,,,https://aclanthology.org/2020.acl-main.4/,https://aclanthology.org/2020.acl-main.4.pdf
Dialogue State Tracking with Explicit Slot Connection Modeling,,,https://aclanthology.org/2020.acl-main.5/,https://aclanthology.org/2020.acl-main.5.pdf
Generating Informative Conversational Response using Recurrent Knowledge-Interaction and Knowledge-Copy,,,https://aclanthology.org/2020.acl-main.6/,https://aclanthology.org/2020.acl-main.6.pdf
Guiding Variational Response Generator to Exploit Persona,,,https://aclanthology.org/2020.acl-main.7/,https://aclanthology.org/2020.acl-main.7.pdf
Large Scale Multi-Actor Generative Dialog Modeling,,,https://aclanthology.org/2020.acl-main.8/,https://aclanthology.org/2020.acl-main.8.pdf
PLATO- Pre-trained Dialogue Generation Model with Discrete Latent Variable,,,https://aclanthology.org/2020.acl-main.9/,https://aclanthology.org/2020.acl-main.9.pdf
Slot-consistent NLG for Task-oriented Dialogue Systems with Iterative Rectification Network,,,https://aclanthology.org/2020.acl-main.10/,https://aclanthology.org/2020.acl-main.10.pdf
Span-ConveRT- Few-shot Span Extraction for Dialog with Pretrained Conversational Representations,,,https://aclanthology.org/2020.acl-main.11/,https://aclanthology.org/2020.acl-main.11.pdf
Zero-Shot Transfer Learning with Synthesized Data for Multi-Domain Dialogue State Tracking,,,https://aclanthology.org/2020.acl-main.12/,https://aclanthology.org/2020.acl-main.12.pdf
