title,keywords,group,link,pdf,abstract
1. A New Algorithm for Weighted Partial MaxSAT,,,https://ojs.aaai.org/index.php/AAAI/article/view/7545,,
2. Exploiting Monotonicity in Interval Constraint Propagation,,,https://ojs.aaai.org/index.php/AAAI/article/view/7541,,
3. A Restriction of Extended Resolution for Clause Learning SAT Solvers,,,https://ojs.aaai.org/index.php/AAAI/article/view/7553,,
4. Transmission Network Expansion Planning with Simulation Optimization,,,https://ojs.aaai.org/index.php/AAAI/article/view/7540,,
5. Propagating Conjunctions of AllDifferent Constraints,,,https://ojs.aaai.org/index.php/AAAI/article/view/7554,,
6. Independent Additive Heuristics Reduce Search Multiplicatively,,,https://ojs.aaai.org/index.php/AAAI/article/view/7547,,
7. 1.6-Bit Pattern Databases,,,https://ojs.aaai.org/index.php/AAAI/article/view/7558,,
8. EWLS- A New Local Search for Minimum Vertex Cover,,,https://ojs.aaai.org/index.php/AAAI/article/view/7539,,
9. High-Quality Policies for the Canadian Travelers Problem,,,https://ojs.aaai.org/index.php/AAAI/article/view/7542,,
10. Single-Frontier Bidirectional Search,,,https://ojs.aaai.org/index.php/AAAI/article/view/7555,,
11. Fast Local Search Algorithm for Weighted Feedback Arc Set in Tournaments,,,https://ojs.aaai.org/index.php/AAAI/article/view/7557,,
12. Exploiting QBF Duality on a Circuit Representation,,,https://ojs.aaai.org/index.php/AAAI/article/view/7548,,
13. Symmetry in Solutions,,,https://ojs.aaai.org/index.php/AAAI/article/view/7549,,
14. Optimal Rectangle Packing on Non-Square Benchmarks,,,https://ojs.aaai.org/index.php/AAAI/article/view/7538,,
15. A Novel Transition Based Encoding Scheme for Planning as Satisfiability,,,https://ojs.aaai.org/index.php/AAAI/article/view/7544,,
16. Parallel Depth First Proof Number Search,,,https://ojs.aaai.org/index.php/AAAI/article/view/7551,,
17. A First Practical Algorithm for High Levels of Relational Consistency,,,https://ojs.aaai.org/index.php/AAAI/article/view/7535,,
"18. Dealing with Infinite Loops, Underestimation, and Overestimation of Depth-First Proof-Number Search",,,https://ojs.aaai.org/index.php/AAAI/article/view/7534,,
19. Searching Without a Heuristic- Efficient Use of Abstraction,,,https://ojs.aaai.org/index.php/AAAI/article/view/7563,,
20. A Stronger Consistency for Soft Global Constraints in Weighted Constraint Satisfaction,,,https://ojs.aaai.org/index.php/AAAI/article/view/7550,,
21. An Efficient Branch-and-Bound Algorithm Based on MaxSAT for the Maximum Clique Problem,,,https://ojs.aaai.org/index.php/AAAI/article/view/7536,,
22. Understanding the Success of Perfect Information Monte Carlo Sampling in Game Tree Search,,,https://ojs.aaai.org/index.php/AAAI/article/view/7562,,
23. Filtering Bounded Knapsack Constraints in Expected Sublinear Time,,,https://ojs.aaai.org/index.php/AAAI/article/view/7560,,
24. Lazy Theta-- Any-Angle Path Planning and Path Length Analysis in 3D,,,https://ojs.aaai.org/index.php/AAAI/article/view/7566,,
25. Search Space Reduction Using Swamp Hierarchies,,,https://ojs.aaai.org/index.php/AAAI/article/view/7556,,
26. Computing Cost-Optimal Definitely Discriminating Tests,,,https://ojs.aaai.org/index.php/AAAI/article/view/7533,,
27. Latent Class Models for Algorithm Portfolio Methods,,,https://ojs.aaai.org/index.php/AAAI/article/view/7546,,
28. Finding Optimal Solutions to Cooperative Pathfinding Problems,,,https://ojs.aaai.org/index.php/AAAI/article/view/7564,,
29. Collaborative Expert Portfolio Management,,,https://ojs.aaai.org/index.php/AAAI/article/view/7561,,
30. Using Lookaheads with Optimal Best-First Search,,,https://ojs.aaai.org/index.php/AAAI/article/view/7559,,
31. The Tree Representation of Feasible Solutions for the TSP with Pickup and Delivery and LIFO Loading,,,https://ojs.aaai.org/index.php/AAAI/article/view/7532,,
32. Coalition Structure Generation based on Distributed Constraint Optimization,,,https://ojs.aaai.org/index.php/AAAI/article/view/7552,,
33. A Proof-Producing CSP Solver,,,https://ojs.aaai.org/index.php/AAAI/article/view/7543,,
34. Hydra- Automatically Configuring Algorithms for Portfolio-Based Selection,,,https://ojs.aaai.org/index.php/AAAI/article/view/7565,,
35. New Worst-Case Upper Bound for #2-SAT and #3-SAT with the Number of Clauses as the Parameter,,,https://ojs.aaai.org/index.php/AAAI/article/view/7537,,
36. Clickthrough Log Analysis by Collaborative Ranking,,,https://ojs.aaai.org/index.php/AAAI/article/view/7579,,
37. Transfer Learning in Collaborative Filtering for Sparsity Reduction,,,https://ojs.aaai.org/index.php/AAAI/article/view/7578,,
38. Collaborative Filtering Meets Mobile Recommendation- A User-Centered Approach,,,https://ojs.aaai.org/index.php/AAAI/article/view/7577,,
39. Past and Future of DL-Lite,,,https://ojs.aaai.org/index.php/AAAI/article/view/7580,,
40. Ordered Completion for First-Order Logic Programs on Finite Structures,,,https://ojs.aaai.org/index.php/AAAI/article/view/7595,,
41. Reasoning about Imperfect Information Games in the Epistemic Situation Calculus,,,https://ojs.aaai.org/index.php/AAAI/article/view/7596,,
42. Knowledge Compilation in the Modal Logic S5,,,https://ojs.aaai.org/index.php/AAAI/article/view/7587,,
43. Decomposed Utility Functions and Graphical Models for Reasoning about Preferences,,,https://ojs.aaai.org/index.php/AAAI/article/view/7582,,
44. Representing Preferences Among Sets,,,https://ojs.aaai.org/index.php/AAAI/article/view/7584,,
45. Node Selection Query Languages for Trees,,,https://ojs.aaai.org/index.php/AAAI/article/view/7598,,
46. First-Order Indefinability of Answer Set Programs on Finite Structures,,,https://ojs.aaai.org/index.php/AAAI/article/view/7589,,
47. Ontologies and Representations of Matter,,,https://ojs.aaai.org/index.php/AAAI/article/view/7581,,
48. Two-Player Game Structures for Generalized Planning and Agent Composition,,,https://ojs.aaai.org/index.php/AAAI/article/view/7597,,
49. Space Efficient Evaluation of ASP Programs with Bounded Predicate Arities,,,https://ojs.aaai.org/index.php/AAAI/article/view/7592,,
