title,keywords,group,link,pdf,abstract
BirdCollect- A Comprehensive Benchmark for Analyzing Dense Bird Flock Attributes,General,"Special Track AI for Social Impact, Senior Member Presentations, New Faculty Highlights, Journal Track: AAAI Technical Track on AI for Social Impact Track",https://ojs.aaai.org/index.php/AAAI/article/view/30189,https://ojs.aaai.org/index.php/AAAI/article/view/30189/32111,Abstract
A Bayesian Spatial Model to Correct Under-Reporting in Urban Crowdsourcing,General,"Special Track AI for Social Impact, Senior Member Presentations, New Faculty Highlights, Journal Track: AAAI Technical Track on AI for Social Impact Track",https://ojs.aaai.org/index.php/AAAI/article/view/30190,https://ojs.aaai.org/index.php/AAAI/article/view/30190/32112,Abstract
Automatic Interpretation of Line Probe Assay Test for Tuberculosis,General,"Special Track AI for Social Impact, Senior Member Presentations, New Faculty Highlights, Journal Track: AAAI Technical Track on AI for Social Impact Track",https://ojs.aaai.org/index.php/AAAI/article/view/30191,https://ojs.aaai.org/index.php/AAAI/article/view/30191/32114,Abstract
Physics-Informed Graph Neural Networks for Water Distribution Systems,General,"Special Track AI for Social Impact, Senior Member Presentations, New Faculty Highlights, Journal Track: AAAI Technical Track on AI for Social Impact Track",https://ojs.aaai.org/index.php/AAAI/article/view/30192,https://ojs.aaai.org/index.php/AAAI/article/view/30192/32116,Abstract
Quantile-Regression-Ensemble- A Deep Learning Algorithm for Downscaling Extreme Precipitation,General,"Special Track AI for Social Impact, Senior Member Presentations, New Faculty Highlights, Journal Track: AAAI Technical Track on AI for Social Impact Track",https://ojs.aaai.org/index.php/AAAI/article/view/30193,https://ojs.aaai.org/index.php/AAAI/article/view/30193/32118,Abstract
Early Detection of Extreme Storm Tide Events Using Multimodal Data Processing,General,"Special Track AI for Social Impact, Senior Member Presentations, New Faculty Highlights, Journal Track: AAAI Technical Track on AI for Social Impact Track",https://ojs.aaai.org/index.php/AAAI/article/view/30194,https://ojs.aaai.org/index.php/AAAI/article/view/30194/32120,Abstract
Decision-Making for Land Conservation- A Derivative-Free Optimization Framework with Nonlinear Inputs,General,"Special Track AI for Social Impact, Senior Member Presentations, New Faculty Highlights, Journal Track: AAAI Technical Track on AI for Social Impact Track",https://ojs.aaai.org/index.php/AAAI/article/view/30195,https://ojs.aaai.org/index.php/AAAI/article/view/30195/32122,Abstract
CariesXrays- Enhancing Caries Detection in Hospital-Scale Panoramic Dental X-rays via Feature Pyramid Contrastive Learning,General,"Special Track AI for Social Impact, Senior Member Presentations, New Faculty Highlights, Journal Track: AAAI Technical Track on AI for Social Impact Track",https://ojs.aaai.org/index.php/AAAI/article/view/30196,https://ojs.aaai.org/index.php/AAAI/article/view/30196/32123,Abstract
Referee-Meta-Learning for Fast Adaptation of Locational Fairness,General,"Special Track AI for Social Impact, Senior Member Presentations, New Faculty Highlights, Journal Track: AAAI Technical Track on AI for Social Impact Track",https://ojs.aaai.org/index.php/AAAI/article/view/30197,https://ojs.aaai.org/index.php/AAAI/article/view/30197/32125,Abstract
From Artificially Real to Real- Leveraging Pseudo Data from Large Language Models for Low-Resource Molecule Discovery,General,"Special Track AI for Social Impact, Senior Member Presentations, New Faculty Highlights, Journal Track: AAAI Technical Track on AI for Social Impact Track",https://ojs.aaai.org/index.php/AAAI/article/view/30198,https://ojs.aaai.org/index.php/AAAI/article/view/30198/32127,Abstract
