title,keywords,group,link,pdf,abstract
A Computational Approach to Sign Language Understanding,"American Sign Language, Transformer Modeling, Sequence Modeling, Feature Extraction, Neural Machine Translation",Student Papers and Demonstrations: The Twenty-Sixth AAAI/SIGAI Doctoral Consortium,https://ojs.aaai.org/index.php/AAAI/article/view/17851,https://ojs.aaai.org/index.php/AAAI/article/view/17851/17656,Abstract
Effective Clustering of scRNA-seq Data to Identify Biomarkers without User Input,"Clustering, ScRNA-seq, Computational Biology, Density-based Clustering, Bioinformatics",Student Papers and Demonstrations: The Twenty-Sixth AAAI/SIGAI Doctoral Consortium,https://ojs.aaai.org/index.php/AAAI/article/view/17852,https://ojs.aaai.org/index.php/AAAI/article/view/17852/17657,Abstract
Creating Interpretable Data-Driven Approaches for Remote Health Monitoring,"Interpretability, Health Informatics, Time Series Classification",Student Papers and Demonstrations: The Twenty-Sixth AAAI/SIGAI Doctoral Consortium,https://ojs.aaai.org/index.php/AAAI/article/view/17853,https://ojs.aaai.org/index.php/AAAI/article/view/17853/17658,Abstract
Verification and Repair of Neural Networks,"PEAI: Safety Robustness & Trustworthiness, ML: Adversarial Learning & Robustness, CSO: Applications, CSO: Satisfiability Modulo Theories, CSO: Constraint Satisfaction",Student Papers and Demonstrations: The Twenty-Sixth AAAI/SIGAI Doctoral Consortium,https://ojs.aaai.org/index.php/AAAI/article/view/17854,https://ojs.aaai.org/index.php/AAAI/article/view/17854/17659,Abstract
Perception Beyond Sensors Under Uncertainty,"Epistemic Uncertainty, Behavior Prediction, Generative Modeling, Autonomous Perception, Occupancy Grids",Student Papers and Demonstrations: The Twenty-Sixth AAAI/SIGAI Doctoral Consortium,https://ojs.aaai.org/index.php/AAAI/article/view/17855,https://ojs.aaai.org/index.php/AAAI/article/view/17855/17660,Abstract
Artificial Intelligence and Machine Learning for Autonomous Agents that Learn to Plan and Operate in Unpredictable Dynamic Environments,"Learning Planning Domains, Abstraction, Online Learning",Student Papers and Demonstrations: The Twenty-Sixth AAAI/SIGAI Doctoral Consortium,https://ojs.aaai.org/index.php/AAAI/article/view/17856,https://ojs.aaai.org/index.php/AAAI/article/view/17856/17661,Abstract
On Learning Deep Models with Imbalanced Data Distribution,"Face Recognition, Biometrics, Alterations, Bias, Image Distortions",Student Papers and Demonstrations: The Twenty-Sixth AAAI/SIGAI Doctoral Consortium,https://ojs.aaai.org/index.php/AAAI/article/view/17857,https://ojs.aaai.org/index.php/AAAI/article/view/17857/17662,Abstract
Screening for Depressed Individuals by Using Multimodal Social Media Data,"Depression, Explainability, Natural Language Processing, Reinforcement Learning, Students",Student Papers and Demonstrations: The Twenty-Sixth AAAI/SIGAI Doctoral Consortium,https://ojs.aaai.org/index.php/AAAI/article/view/17858,https://ojs.aaai.org/index.php/AAAI/article/view/17858/17663,Abstract
Relational Learning to Capture the Dynamics and Sparsity of Knowledge Graphs,"Knowledge Graphs, Relational Learning, Meta Learning, Continual Learning",Student Papers and Demonstrations: The Twenty-Sixth AAAI/SIGAI Doctoral Consortium,https://ojs.aaai.org/index.php/AAAI/article/view/17859,https://ojs.aaai.org/index.php/AAAI/article/view/17859/17664,Abstract
Constraint-Driven Learning of Logic Programs,"ML: Relational Learning, KRR: Logic Programming, CSO: Applications",Student Papers and Demonstrations: The Twenty-Sixth AAAI/SIGAI Doctoral Consortium,https://ojs.aaai.org/index.php/AAAI/article/view/17860,https://ojs.aaai.org/index.php/AAAI/article/view/17860/17665,Abstract
Transfer Learning of Engagement Recognition within Robot-Assisted Therapy for Children with Autism,"Child-robot Interaction, Transfer Learning, Machine Learning, Children With Autism-spectrum Disorder",Student Papers and Demonstrations: The Twenty-Sixth AAAI/SIGAI Doctoral Consortium,https://ojs.aaai.org/index.php/AAAI/article/view/17861,https://ojs.aaai.org/index.php/AAAI/article/view/17861/17666,Abstract
Robots that Help Humans Build Better Mental Models of Robots,"Human-robot Interaction, Mental Models, Cognitive Architectures, Human-Computer Interaction",Student Papers and Demonstrations: The Twenty-Sixth AAAI/SIGAI Doctoral Consortium,https://ojs.aaai.org/index.php/AAAI/article/view/17862,https://ojs.aaai.org/index.php/AAAI/article/view/17862/17667,Abstract
AI for Social Good- Between My Research and the Real World,"AI For Social Good, Food Security, Data Science, Online Learning, Bandit, Data-driven Optimization",Student Papers and Demonstrations: The Twenty-Sixth AAAI/SIGAI Doctoral Consortium,https://ojs.aaai.org/index.php/AAAI/article/view/17863,https://ojs.aaai.org/index.php/AAAI/article/view/17863/17668,Abstract
Safety Assurance for Systems with Machine Learning Components,"Safety, Verification, Neural Networks, Bayesian Learning, Testing, Deep Learning, Machine Learning, Formal Methods, Reinforcement Learning, Validation, AI Safety",Student Papers and Demonstrations: The Twenty-Sixth AAAI/SIGAI Doctoral Consortium,https://ojs.aaai.org/index.php/AAAI/article/view/17864,https://ojs.aaai.org/index.php/AAAI/article/view/17864/17669,Abstract
"Towards Fair, Equitable, and Efficient Peer Review","Peer-review, Human-ai Collaboration, Fairness, Hypothesis Testing, Human-subject Experiments",Student Papers and Demonstrations: The Twenty-Sixth AAAI/SIGAI Doctoral Consortium,https://ojs.aaai.org/index.php/AAAI/article/view/17865,https://ojs.aaai.org/index.php/AAAI/article/view/17865/17670,Abstract
Multi-agent Reinforcement Learning for Decentralized Coalition Formation Games,"Matching, Coalition Formation, Multi-agent Reinforcement Learning, Decentralized Learning",Student Papers and Demonstrations: The Twenty-Sixth AAAI/SIGAI Doctoral Consortium,https://ojs.aaai.org/index.php/AAAI/article/view/17866,https://ojs.aaai.org/index.php/AAAI/article/view/17866/17671,Abstract
Distributed Situation Awareness for Multi-agent Mission in Dynamic Environments- A Case Study of Multi-UAVs Wildfires Searching,"Multi-agent System, Multi-agent Learning, Situation Awareness, Optimisation",Student Papers and Demonstrations: The Twenty-Sixth AAAI/SIGAI Doctoral Consortium,https://ojs.aaai.org/index.php/AAAI/article/view/17867,https://ojs.aaai.org/index.php/AAAI/article/view/17867/17672,Abstract
How Human Centered AI Will Contribute Towards Intelligent Gaming Systems,"Human-Centered AI, Intelligent Gaming Systems, Behavior Prediction, Multimodal Machine Learning, Reinforcement Learning",Student Papers and Demonstrations: The Twenty-Sixth AAAI/SIGAI Doctoral Consortium,https://ojs.aaai.org/index.php/AAAI/article/view/17868,https://ojs.aaai.org/index.php/AAAI/article/view/17868/17673,Abstract
Role of Optimizer on Network Fine-tuning for Adversarial Robustness (Student Abstract),"Adversarial Robustness, COmputer Vision, CNN, Object Recognition",Student Papers and Demonstrations: AAAI Student Abstract and Poster Program,https://ojs.aaai.org/index.php/AAAI/article/view/17869,https://ojs.aaai.org/index.php/AAAI/article/view/17869/17674,Abstract
A Serverless Approach to Federated Learning Infrastructure Oriented for IoT-Edge Data Sources (Student Abstract),"Federated Learning, Distributed Machine Learning, Mobile Relay, Machine Learning, Iot, Edge",Student Papers and Demonstrations: AAAI Student Abstract and Poster Program,https://ojs.aaai.org/index.php/AAAI/article/view/17870,https://ojs.aaai.org/index.php/AAAI/article/view/17870/17675,Abstract
Reward based Hebbian Learning in Direct Feedback Alignment (Student Abstract),"Hebbian Learning, Direct Feedback Alignment, Reinforcement Learning",Student Papers and Demonstrations: AAAI Student Abstract and Poster Program,https://ojs.aaai.org/index.php/AAAI/article/view/17871,https://ojs.aaai.org/index.php/AAAI/article/view/17871/17676,Abstract
Clustering Partial Lexicographic Preference Trees (Student Abstract),"Preferences, Clustering, Decision Theory, Visual Analytics",Student Papers and Demonstrations: AAAI Student Abstract and Poster Program,https://ojs.aaai.org/index.php/AAAI/article/view/17872,https://ojs.aaai.org/index.php/AAAI/article/view/17872/17677,Abstract
