title,keywords,group,link,pdf,abstract
1. Kernel Density Estimation for Text-Based Geolocation,,,https://ojs.aaai.org/index.php/AAAI/article/view/9149,,
2. Are Features Equally Representative- A Feature-Centric Recommendation,,,https://ojs.aaai.org/index.php/AAAI/article/view/9150,,
3. Collaborative Topic Ranking- Leveraging Item Meta-Data for Sparsity Reduction,,,https://ojs.aaai.org/index.php/AAAI/article/view/9151,,
4. Retweet Behavior Prediction Using Hierarchical Dirichlet Process,,,https://ojs.aaai.org/index.php/AAAI/article/view/9152,,
5. TrustSVD- Collaborative Filtering with Both the Explicit and Implicit Influence of User Trust and of Item Ratings,,,https://ojs.aaai.org/index.php/AAAI/article/view/9153,,
6. Efficient Top-k Shortest-Path Distance Queries on Large Networks by Pruned Landmark Labeling,,,https://ojs.aaai.org/index.php/AAAI/article/view/9154,,
7. Incorporating Implicit Link Preference Into Overlapping Community Detection,,,https://ojs.aaai.org/index.php/AAAI/article/view/9155,,
8. Causal Inference via Sparse Additive Models with Application to Online Advertising,,,https://ojs.aaai.org/index.php/AAAI/article/view/9156,,
9. Burst Time Prediction in Cascades,,,https://ojs.aaai.org/index.php/AAAI/article/view/9157,,
10. COT- Contextual Operating Tensor for Context-Aware Recommender Systems,,,https://ojs.aaai.org/index.php/AAAI/article/view/9158,,
11. A Stochastic Model for Detecting Heterogeneous Link Communities in Complex Networks,,,https://ojs.aaai.org/index.php/AAAI/article/view/9159,,
12. On the Scalable Learning of Stochastic Blockmodel,,,https://ojs.aaai.org/index.php/AAAI/article/view/9160,,
13. Multi-Document Summarization Based on Two-Level Sparse Representation Model,,,https://ojs.aaai.org/index.php/AAAI/article/view/9161,,
14. Clustering-Based Collaborative Filtering for Link Prediction,,,https://ojs.aaai.org/index.php/AAAI/article/view/9162,,
15. A New Granger Causal Model for Influence Evolution in Dynamic Social Networks- The Case of DBLP,,,https://ojs.aaai.org/index.php/AAAI/article/view/9163,,
16. RAIN- Social Role-Aware Information Diffusion,,,https://ojs.aaai.org/index.php/AAAI/article/view/9164,,
17. A Personalized Interest-Forgetting Markov Model for Recommendations,,,https://ojs.aaai.org/index.php/AAAI/article/view/9165,,
18. Mining Query Subtopics from Questions in Community Question Answering,,,https://ojs.aaai.org/index.php/AAAI/article/view/9166,,
19. Recommending Positive Links in Signed Social Networks by Optimizing a Generalized AUC,,,https://ojs.aaai.org/index.php/AAAI/article/view/9167,,
20. VELDA- Relating an Image Tweet’s Text and Images,,,https://ojs.aaai.org/index.php/AAAI/article/view/9168,,
21. Trust Models for RDF Data- Semantics and Complexity,,,https://ojs.aaai.org/index.php/AAAI/article/view/9169,,
22. Leveraging Social Foci for Information Seeking in Social Media,,,https://ojs.aaai.org/index.php/AAAI/article/view/9170,,
23. Perceiving Group Themes from Collective Social and Behavioral Information,,,https://ojs.aaai.org/index.php/AAAI/article/view/9171,,
24. Will You Reconsume the Near Past- Fast Prediction on Short-Term Reconsumption Behaviors,,,https://ojs.aaai.org/index.php/AAAI/article/view/9172,,
25. Relating Romanized Comments to News Articles by Inferring Multi-Glyphic Topical Correspondence,,,https://ojs.aaai.org/index.php/AAAI/article/view/9173,,
26. Inferring Same-As Facts from Linked Data- An Iterative Import-by-Query Approach,,,https://ojs.aaai.org/index.php/AAAI/article/view/9174,,
27. Consistent Knowledge Discovery from Evolving Ontologies,,,https://ojs.aaai.org/index.php/AAAI/article/view/9175,,
28. Extracting Bounded-Level Modules from Deductive RDF Triplestores,,,https://ojs.aaai.org/index.php/AAAI/article/view/9176,,
29. Using Description Logics for RDF Constraint Checking and Closed-World Recognition,,,https://ojs.aaai.org/index.php/AAAI/article/view/9177,,
30. Question-Answer Matching for CQA System via Combining Lexical and Sequential Information,,,https://ojs.aaai.org/index.php/AAAI/article/view/9178,,
31. Robust Image Sentiment Analysis Using Progressively Trained and Domain Transferred Deep Networks,,,https://ojs.aaai.org/index.php/AAAI/article/view/9179,,
32. FACES- Diversity-Aware Entity Summarization Using Incremental Hierarchical Conceptual Clustering,,,https://ojs.aaai.org/index.php/AAAI/article/view/9180,,
33. Cross-Modal Image Clustering via Canonical Correlation Analysis,,,https://ojs.aaai.org/index.php/AAAI/article/view/9181,,
34. A Tri-Role Topic Model for Domain-Specific Question Answering,,,https://ojs.aaai.org/index.php/AAAI/article/view/9182,,
35. Content-Based Collaborative Filtering for News Topic Recommendation,,,https://ojs.aaai.org/index.php/AAAI/article/view/9183,,
36. Visually Interpreting Names as Demographic Attributes by Exploiting Click-Through Data,,,https://ojs.aaai.org/index.php/AAAI/article/view/9184,,
37. A Hybrid Approach of Classifier and Clustering for Solving the Missing Node Problem,,,https://ojs.aaai.org/index.php/AAAI/article/view/9185,,
38. Prajna- Towards Recognizing Whatever You Want from Images without Image Labeling,,,https://ojs.aaai.org/index.php/AAAI/article/view/9186,,
39. Handling Owl-sameAs via Rewriting,,,https://ojs.aaai.org/index.php/AAAI/article/view/9187,,
40. Extended Property Paths- Writing More SPARQL Queries in a Succinct Way,,,https://ojs.aaai.org/index.php/AAAI/article/view/9188,,
41. An Axiomatic Approach to Link Prediction,,,https://ojs.aaai.org/index.php/AAAI/article/view/9189,,
42. Estimating Temporal Dynamics of Human Emotions,,,https://ojs.aaai.org/index.php/AAAI/article/view/9190,,
43. On Information Coverage for Location Category Based Point-of-Interest Recommendation,,,https://ojs.aaai.org/index.php/AAAI/article/view/9191,,
44. Lower and Upper Bounds for SPARQL Queries over OWL Ontologies,,,https://ojs.aaai.org/index.php/AAAI/article/view/9192,,
45. Exploring Key Concept Paraphrasing Based on Pivot Language Translation for Question Retrieval,,,https://ojs.aaai.org/index.php/AAAI/article/view/9193,,
46. Representation Learning for Aspect Category Detection in Online Reviews,,,https://ojs.aaai.org/index.php/AAAI/article/view/9194,,
47. High-Performance Distributed ML at Scale through Parameter Server Consistency Models,,,https://ojs.aaai.org/index.php/AAAI/article/view/9195,,
48. Mining User Intents in Twitter- A Semi-Supervised Approach to Inferring Intent Categories for Tweets,,,https://ojs.aaai.org/index.php/AAAI/article/view/9196,,
49. Effectively Predicting Whether and When a Topic Will Become Prevalent in a Social Network,,,https://ojs.aaai.org/index.php/AAAI/article/view/9197,,
50. An EBMC-Based Approach to Selecting Types for Entity Filtering,,,https://ojs.aaai.org/index.php/AAAI/article/view/9198,,
51. A Probabilistic Model for Bursty Topic Discovery in Microblogs,,,https://ojs.aaai.org/index.php/AAAI/article/view/9199,,
52. Approximating Model-Based ABox Revision in DL-Lite- Theory and Practice,,,https://ojs.aaai.org/index.php/AAAI/article/view/9200,,
53. Modeling with Node Degree Preservation Can Accurately Find Communities,,,https://ojs.aaai.org/index.php/AAAI/article/view/9201,,
