title,keywords,group,link,pdf,abstract
COSMOS- Catching Out-of-Context Image Misuse Using Self-Supervised Learning,General,Special Tracks: AAAI Special Track on AI for Social Impact,https://ojs.aaai.org/index.php/AAAI/article/view/26648,https://ojs.aaai.org/index.php/AAAI/article/view/26648/26420,Abstract
Med-EASi- Finely Annotated Dataset and Models for Controllable Simplification of Medical Texts,General,Special Tracks: AAAI Special Track on AI for Social Impact,https://ojs.aaai.org/index.php/AAAI/article/view/26649,https://ojs.aaai.org/index.php/AAAI/article/view/26649/26421,Abstract
On the Challenges of Using Reinforcement Learning in Precision Drug Dosing- Delay and Prolongedness of Action Effects,General,Special Tracks: AAAI Special Track on AI for Social Impact,https://ojs.aaai.org/index.php/AAAI/article/view/26650,https://ojs.aaai.org/index.php/AAAI/article/view/26650/26422,Abstract
On the Cost of Demographic Parity in Influence Maximization,General,Special Tracks: AAAI Special Track on AI for Social Impact,https://ojs.aaai.org/index.php/AAAI/article/view/26651,https://ojs.aaai.org/index.php/AAAI/article/view/26651/26423,Abstract
Improving Fairness in Information Exposure by Adding Links,General,Special Tracks: AAAI Special Track on AI for Social Impact,https://ojs.aaai.org/index.php/AAAI/article/view/26652,https://ojs.aaai.org/index.php/AAAI/article/view/26652/26424,Abstract
A Fair Incentive Scheme for Community Health Workers,General,Special Tracks: AAAI Special Track on AI for Social Impact,https://ojs.aaai.org/index.php/AAAI/article/view/26653,https://ojs.aaai.org/index.php/AAAI/article/view/26653/26425,Abstract
Rehabilitating Homeless- Dataset and Key Insights,General,Special Tracks: AAAI Special Track on AI for Social Impact,https://ojs.aaai.org/index.php/AAAI/article/view/26654,https://ojs.aaai.org/index.php/AAAI/article/view/26654/26426,Abstract
Counterfactuals for the Future,General,Special Tracks: AAAI Special Track on AI for Social Impact,https://ojs.aaai.org/index.php/AAAI/article/view/26655,https://ojs.aaai.org/index.php/AAAI/article/view/26655/26427,Abstract
Towards Learning to Discover Money Laundering Sub-network in Massive Transaction Network,General,Special Tracks: AAAI Special Track on AI for Social Impact,https://ojs.aaai.org/index.php/AAAI/article/view/26656,https://ojs.aaai.org/index.php/AAAI/article/view/26656/26428,Abstract
Estimating Geographic Spillover Effects of COVID-19 Policies from Large-Scale Mobility Networks,General,Special Tracks: AAAI Special Track on AI for Social Impact,https://ojs.aaai.org/index.php/AAAI/article/view/26657,https://ojs.aaai.org/index.php/AAAI/article/view/26657/26429,Abstract
Seq2Seq Surrogates of Epidemic Models to Facilitate Bayesian Inference,General,Special Tracks: AAAI Special Track on AI for Social Impact,https://ojs.aaai.org/index.php/AAAI/article/view/26658,https://ojs.aaai.org/index.php/AAAI/article/view/26658/26430,Abstract
Leveraging Old Knowledge to Continually Learn New Classes in Medical Images,General,Special Tracks: AAAI Special Track on AI for Social Impact,https://ojs.aaai.org/index.php/AAAI/article/view/26659,https://ojs.aaai.org/index.php/AAAI/article/view/26659/26431,Abstract
SARAS-Net- Scale and Relation Aware Siamese Network for Change Detection,General,Special Tracks: AAAI Special Track on AI for Social Impact,https://ojs.aaai.org/index.php/AAAI/article/view/26660,https://ojs.aaai.org/index.php/AAAI/article/view/26660/26432,Abstract
Improving Interpretability of Deep Sequential Knowledge Tracing Models with Question-centric Cognitive Representations,General,Special Tracks: AAAI Special Track on AI for Social Impact,https://ojs.aaai.org/index.php/AAAI/article/view/26661,https://ojs.aaai.org/index.php/AAAI/article/view/26661/26433,Abstract
Critical Firms Prediction for Stemming Contagion Risk in Networked-Loans through Graph-Based Deep Reinforcement Learning,General,Special Tracks: AAAI Special Track on AI for Social Impact,https://ojs.aaai.org/index.php/AAAI/article/view/26662,https://ojs.aaai.org/index.php/AAAI/article/view/26662/26434,Abstract
